ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2023-01-27T20:59:59-05:00,"Thursday, Jan 26, 2023","Friday, Jan 27, 2023",2023-01-27 01:18:00,2023-01-27 09:31:00,08:13:00,00:32:00,00:00:00,1,07:41:00,07:56:51,93.5,94.6,04:55:32,05:19:39,02:33:40,02:00:47,56.5,53.1,69.0,70.7,52.0,50.7,77,81,70,60,,,,,,,,,
2023-01-28T20:59:59-05:00,"Friday, Jan 27, 2023","Saturday, Jan 28, 2023",2023-01-28 01:43:00,2023-01-28 11:21:00,09:38:00,01:26:00,00:00:00,1,08:12:00,07:55:17,85.1,92.5,06:00:11,05:21:11,02:38:43,02:03:51,50.0,53.0,67.0,69.2,46.0,50.4,116,84,72,62,,,,,,,,,
2023-01-29T20:59:59-05:00,"Saturday, Jan 28, 2023","Sunday, Jan 29, 2023",2023-01-29 03:55:00,2023-01-29 10:03:00,06:08:00,00:15:00,00:00:00,1,05:53:00,07:40:42,95.9,91.9,04:29:36,05:18:17,02:24:25,02:11:29,46.0,51.4,70.5,70.7,44.0,49.9,78,81,63,62,,,,,,,,,
2023-01-30T20:59:59-05:00,"Sunday, Jan 29, 2023","Monday, Jan 30, 2023",2023-01-30 03:13:00,2023-01-30 11:26:00,08:13:00,00:14:00,00:00:00,1,07:59:00,07:50:08,97.2,92.8,05:34:01,05:26:54,02:49:58,02:24:25,47.7,51.2,65.3,71.2,46.0,49.6,99,87,86,66,,,,,,,,,
2023-01-31T20:59:59-05:00,"Monday, Jan 30, 2023","Tuesday, Jan 31, 2023",2023-01-31 03:56:00,2023-01-31 11:01:00,07:05:00,00:00:00,00:00:00,1,07:05:00,07:54:42,100.0,94.4,05:27:15,05:34:46,02:46:58,02:35:19,47.4,50.6,56.1,70.5,46.0,49.3,80,83,71,66,,,,,,,,,
2023-02-01T20:59:59-05:00,"Tuesday, Jan 31, 2023","Wednesday, Feb 1, 2023",2023-02-01 02:12:00,2023-02-01 11:30:00,09:18:00,00:17:00,00:00:00,1,09:01:00,07:48:17,97.0,94.5,07:08:44,05:37:03,03:51:51,02:42:00,45.9,49.8,67.8,70.0,43.0,48.0,134,92,97,73,,,,,,,,,
2023-02-02T20:59:59-05:00,"Wednesday, Feb 1, 2023","Thursday, Feb 2, 2023",2023-02-02 02:52:00,2023-02-02 10:36:00,07:44:00,00:23:00,00:00:00,1,07:21:00,07:36:00,95.0,94.8,05:05:08,05:31:30,01:42:54,02:41:12,47.4,48.7,,,44.0,45.9,86,96,69,75,,,,,,,,,
2023-02-04T20:59:59-05:00,"Friday, Feb 3, 2023","Saturday, Feb 4, 2023",2023-02-04 04:45:00,2023-02-04 11:14:00,06:29:00,00:00:00,00:00:00,1,06:29:00,07:25:42,100.0,95.7,04:54:51,05:31:24,02:14:39,02:38:29,43.0,46.8,59.5,65.3,43.0,44.6,82,96,64,75,,,,,,,,,
2023-02-05T20:59:59-05:00,"Saturday, Feb 4, 2023","Sunday, Feb 5, 2023",2023-02-05 03:16:00,2023-02-05 10:35:00,07:19:00,00:37:00,00:00:00,1,06:42:00,07:12:51,91.6,96.7,04:44:18,05:20:33,01:32:46,02:29:04,58.8,48.0,67.8,65.4,44.0,44.3,51,87,46,71,,,,,,,,,
2023-02-06T20:59:59-05:00,"Sunday, Feb 5, 2023","Monday, Feb 6, 2023",2023-02-05 23:15:00,2023-02-06 09:55:00,10:40:00,00:39:00,00:00:00,1,10:01:00,07:48:17,93.9,96.4,06:08:15,05:34:39,02:18:42,02:28:15,49.7,48.6,59.7,63.9,46.0,44.6,210,106,94,75,,,,,,,,,
